Key,Message
prompt_for_a_date_or_a_time_d2df7f90,Prompt for a date or a time
prompt_for_a_file_or_an_attachment_1bf18e7e,Prompt for a file or an attachment
prompt_for_a_number_84999edb,Prompt for a number
prompt_for_attachment_727d4fac,Prompt for Attachment
prompt_for_confirmation_dc85565c,Prompt for confirmation
prompt_for_text_5c524f80,Prompt for text
prompt_with_multi_choice_f428542f,Prompt with multi-choice
property_description_8d21ea2e,Property description.
property_editor_preferences_ad7a4b62,Property editor preferences
property_title_f2b443b7,Property title
property_type_95689fa5,Property type.
provide_a_brief_description_it_will_appear_on_the__f962eb38,Provide a brief description. It will appear on the publish history list.
pseudo_1a319287,Pseudo
publish_5211dca3,Publish
publish_configuration_d759a4e3,Publish Configuration
publish_destination_type_5f8c200a,Publish Destination Type
publish_models_9a36752a,Publish models
publish_profiles_cf8d307b,Publish Profiles
publish_to_selected_profile_c0998a2,Publish to selected profile
published_4bb5209e,Published
publishing_d63a8f2d,Publishing
qna_28ee5e26,QnA
qna_editor_9eb94b02,QnA editor
qna_file_37705cb7,qna file
qna_intent_recognized_49c3d797,QnA Intent recognized
qna_navigation_pane_b79ebcbf,Qna Navigation Pane
qna_region_5a864ef8,QnA Region
qna_subscription_key_ed72a47,QNA Subscription key:
question_9121487,Question
randomselector_4a5274f1,RandomSelector
range_selection_30caeea5,Range Selection
re_prompt_for_input_c3b5b3ab,Re-prompt for input
recent_bots_53585911,Recent Bots
recognizer_type_dc591e16,Recognizer Type
recognizers_cefce9d1,Recognizers
redo_363c58b7,Redo
redo_is_not_supported_b743e4dc,Redo is not supported
refer_to_the_syntax_documentation_here_df8dc9b4,Refer to the syntax documentation here.
regex_intent_is_already_defined_df095c1f,RegEx { intent } is already defined
regular_expression_855557bf,Regular Expression
release_1af20f26,Release: 
reloading_49d2f661,Reloading
remove_f47dc62a,Remove
repeat_this_dialog_83ca994e,Repeat this dialog
replace_this_dialog_e304015e,Replace this dialog
reprompt_dialog_event_c42d2c33,Reprompt dialog event
response_is_response_3cd62f8f,Response is { response }
responses_12d6df1d,Responses
restart_bot_34e36428,Restart Bot
result_b1f14e91, = Result
result_property_100ef34f, = Result property
return_value_b386d1b,= Return value
review_and_generate_63dec712,Review and generate
rollback_26326307,Rollback
runtime_already_exists_f181f5ec,Runtime already exists
runtime_code_location_4e94ee12,Runtime code location
runtime_config_a2904ff9,Runtime Config
sample_phrases_5d78fa35,Sample Phrases
sample_phrases_are_phrases_a966b47f,Sample Phrases are { phrases }
save_11a80ec3,Save
save_as_9e0cf70b,Save as
save_your_skill_manifest_63bf5f26,Save your skill manifest
schema_24739a48,Schema
scripts_successfully_updated_3a75d57f,Scripts successfully updated.
sdk_runtime_packages_22d8ed1a,SDK runtime packages
search_280d00bd,Search
search_for_extensions_a27c4772,Search for extensions
see_log_4b833bf7,See Log
select_a_bot_e1c4dc2b,Select a Bot
select_a_trigger_on_the_left_a4b41558,Select a trigger on the left
select_all_f73344a8,Select all
select_an_activity_type_c982fcbe,Select an activity type
select_an_event_type_3d7108f1,Select an event type
select_language_to_delete_d1662d3d,Select language to delete
select_manifest_version_4f5b1230,Select manifest version
select_options_9ee7b227,Select options
select_property_type_5f3ab685,select property type
select_runtime_version_to_add_d63d383b,Select runtime version to add
select_the_language_that_bot_will_be_able_to_under_1f2bcb96,"Select the language that bot will be able to understand (User input) and respond to (Bot responses).\n    To make this bot available in other languages, click “Add’ to create a copy of the default language, and translate the content into the new language."
select_which_dialogs_are_included_in_the_skill_man_281ef8c9,Select which dialogs are included in the skill manifest
select_which_tasks_this_skill_can_perform_172b0eae,Select which tasks this skill can perform
selection_field_86d1dc94,selection field
selectors_2dcb3029,Selectors
send_a_response_1a917d7e,Send a response
send_an_http_request_aa32fd2,Send an HTTP request
send_messages_c48b239,Send Messages
sentence_wrap_930c8ced,Sentence wrap
session_expired_12aaf414,Session expired
set_a_property_4258d8d7,Set a property
set_destination_folder_f76e0259,Set destination folder
set_properties_7415af3c,Set properties
set_up_your_bot_75009578,Set up your bot
settings_5aa0fd0c,Settings
settings_contains_detailed_information_about_your__54aa601d,"Settings contains detailed information about your bot. For security reasons, they are hidden by default. To test your bot or publish to Azure, you may need to provide these settings."
settings_editor_b5246933,Settings editor
settings_menu_c99ecc6d,Settings menu
show_all_notifications_55bf7858,Show All Notifications
show_code_f3e9d1cc,Show code
show_keys_3072a5b8,Show keys
show_skill_manifest_5d0abde1,Show skill manifest
sign_out_user_6845d640,Sign out user
skill_dialog_name_1bbf0eff,Skill Dialog Name
skill_endpoint_b563491e,Skill Endpoint
skill_endpoints_e4e3d8c1,Skill endpoints
skill_host_endpoint_b1088d0,Skill Host Endpoint
skill_manifest_endpoint_is_configured_improperly_e083731d,Skill manifest endpoint is configured improperly
skillname_manifest_ef3d9fed,{ skillName } Manifest
skills_49cccd6a,Skills
skip_this_step_to_add_questions_and_answers_manual_ed1b9f80,Skip this step to add questions and answers manually after creation. The number of sources and file size you can add depends on the QnA service SKU you choose. 
sorry_something_went_wrong_with_connecting_bot_run_7d6785e3,"Sorry, something went wrong with connecting bot runtime"
sorry_something_went_wrong_with_publishing_try_aga_306a48f5,"Sorry, something went wrong with publishing. Try again or exit out of this task."
sorted_a_to_z_915b2ed3,Sorted A to Z
sorted_z_to_a_722f1567,Sorted Z to A
spaces_and_special_characters_are_not_allowed_20d47684,Spaces and special characters are not allowed.
spaces_and_special_characters_are_not_allowed_use__48acec3c,"Spaces and special characters are not allowed. Use letters, numbers, -, or _."
specify_a_name_and_description_for_your_new_dialog_86eb3130,Specify a name and description for your new dialog.
specify_a_name_description_and_location_for_your_n_667f1438,"Specify a name, description, and location for your new bot project."
start_bot_25ecad14,Start Bot
start_bot_failed_d75647d5,Start bot failed
start_command_a085f2ec,Start command
state_is_state_a2b8943,State is { state }
status_e7fdbe06,Status
step_of_setlength_43c73821,{ step } of { setLength }
string_24369b3,String
string_field_db491570,string field
string_or_expression_c441b45c,String or expression
submit_a3cc6859,Submit
synonyms_optional_afe5cdb1,Synonyms (Optional)
tb_149f379c,TB
templatename_is_missing_or_empty_23e6b06e,templateName is missing or empty
terms_of_use_6542769b,Terms of Use
test_in_emulator_b1b3c278,Test in Emulator
test_your_bot_3cd1f4bb,Test your bot
text_7f4593da,Text
the_callback_url_for_the_skill_host_e20e1012,The callback url for the skill host.
the_dialog_you_have_tried_to_delete_is_currently_u_a37c7a02,The dialog you have tried to delete is currently used in the below dialog(s). Removing this dialog will cause your Bot to malfunction without additional action.
the_following_lufile_s_are_invalid_c61ea748,The Following LuFile(s) are invalid: \n
the_main_dialog_is_named_after_your_bot_it_is_the__3d9864f,The main dialog is named after your bot. It is the root and entry point of a bot.
the_manifest_can_be_edited_and_refined_manually_if_9269e3f2,The manifest can be edited and refined manually if and where needed.
the_microsoft_app_id_that_will_be_calling_the_skil_955424de,The Microsoft App Id that will be calling the skill.
the_microsoft_app_password_that_will_be_calling_th_acf9e1ea,The Microsoft App Password that will be calling the skill.
the_page_you_are_looking_for_can_t_be_found_a3b75795,"The page you are looking for can''t be found."
the_return_type_does_not_match_2ae72548,the return type does not match
the_welcome_message_is_triggered_by_the_i_conversa_a3ff58f8,The welcome message is triggered by the <i>ConversationUpdate</i> event. To add a new <i>ConversationUpdate</i> trigger:
there_was_an_error_74ed3c58,There was an error
these_examples_bring_together_all_of_the_best_prac_ca1b89c7,"These examples bring together all of the best practices and supporting components we''ve identified through building of conversational experiences."
these_tasks_will_be_used_to_generate_the_manifest__2791be0e,These tasks will be used to generate the manifest and describe the capabilities of this skill to those who may want to use it.
this_configures_a_data_driven_dialog_via_a_collect_c7fa4389,This configures a data driven dialog via a collection of events and actions.
this_dialog_has_no_trigger_yet_d1f1d173,This dialog has no trigger yet.
this_is_a_required_field_acb9837e,This is a required field.
this_is_a_severity_notification_9beabb58,This is a { severity } notification
this_is_the_language_used_for_composer_s_user_inte_ab7fa82e,This is the language used for Composer’s user interface.
this_language_will_be_copied_and_used_as_the_basis_573515e4,This language will be copied and used as the basis (and fallback language) for the translation.
this_trigger_type_is_not_supported_by_the_regex_re_2c3b7c46,This trigger type is not supported by the RegEx recognizer and will not be fired.
this_trigger_type_is_not_supported_by_the_regex_re_dc3eefa2,"This trigger type is not supported by the RegEx recognizer. To ensure this trigger is fired, change the recognizer type."
this_url_is_duplicated_a0768f44,This url is duplicated
this_version_of_the_content_is_out_of_date_and_you_5e878f29,"This version of the content is out of date, and your last change was rejected. The content will be automatically refreshed."
this_will_delete_the_dialog_and_its_contents_do_yo_9b48fa3c,This will delete the Dialog and its contents. Do you wish to continue?
this_will_delete_the_profile_do_you_wish_to_contin_61b54894,This will delete the profile. Do you wish to continue?
this_will_open_your_emulator_application_if_you_do_ba277151,"This will open your Emulator application. If you don''t yet have the Bot Framework Emulator installed, you can download it <a>here</a>."
time_2b5aac58,Time
tip_8f74cd0,tip
tips_80d0da2b,tips
title_ee03d132,Title
title_msg_ee91458d,{ title }. { msg }
to_customize_the_welcome_message_select_the_i_send_9b4bf4f,"To customize the welcome message, select the <i>Send a response</i> action in the Visual Editor. Then in the Form Editor on the right, you can edit the bot''s welcome message in the <b>Language Generation</b> field."
to_learn_more_about_the_lg_file_format_read_the_do_ef6e083d,"> To learn more about the LG file format, read the documentation at\n> { lgHelp }"
to_learn_more_about_the_lu_file_format_read_the_do_cac5ffc9,"> To learn more about the LU file format, read the documentation at\n> { LU_HELP }"
to_learn_more_about_the_qna_file_format_read_the_d_1ce18259,"> To learn more about the QnA file format, read the documentation at\n> { QNA_HELP }"
to_make_your_bot_available_for_others_as_a_skill_w_f2c19b9c,"To make your bot available for others as a skill, we need to generate a manifest."
to_run_this_bot_composer_needs_net_core_sdk_d1551038,"To run this bot, Composer needs .NET Core SDK."
to_understand_what_the_user_says_your_dialog_needs_4e791611,"To understand what the user says, your dialog needs a ""Recognizer""; that includes example words and sentences that users may use."
to_understand_what_the_user_says_your_dialog_needs_957034cc,"To understand what the user says, your dialog needs an ''IRecognizer'' that includes example words and sentences that users may use."
to_which_language_will_you_be_translating_your_bot_77219d69,To which language will you be translating your bot?
token_property_e53a19d9, = Token Property
toolbar_bafd4228,toolbar
total_mb_531a3721,{ total }MB
trigger_phrases_f6754fa,Trigger phrases
trigger_phrases_intent_intentname_a1b62148,Trigger phrases (intent: #{ intentName })
triggers_connect_intents_with_bot_responses_think__fdfc97ea,"Triggers connect intents with bot responses. Think of a trigger as one capability of your bot. So your bot is a collection of triggers. To add a new trigger, click the <b>Add</b> button in the toolbar, and then select the <b>Add a new trigger</b> option from the dropdown menu."
true_1900d7ae,true
true_b9327890,True
trueselector_40702dda,TrueSelector
try_again_ad656c3c,Try again
type_c8106334,Type
type_could_not_be_loaded_65ebaf86,{ type } could not be loaded
type_dialog_name_14a50769,Type dialog name
typing_activity_6b634ae,Typing activity
unable_to_determine_recognizer_type_from_data_valu_2960f526,Unable to determine recognizer type from data: { value }
undo_a7be8fef,Undo
undo_is_not_supported_ecd6f9fc,Undo is not supported
unknown_intent_44b962ba,Unknown intent
unknown_intent_recognized_1953f9be,Unknown intent recognized
unknown_state_23f73afb,Unknown State
unused_8d193e3,Unused
update_a_an_activity_previously_sent_during_the_co_f0619cca,Update a an activity previously sent during the conversation
update_activity_2b05e6c6,Update activity
update_available_b637d767,Update available
update_complete_c5163fbf,Update complete
update_failed_2c87428c,Update failed
update_folder_name_error_24563bf6,Update Folder Name Error
update_in_progress_f65e6b29,Update in progress
update_scripts_a3a483e,Update scripts
update_scripts_c58771a2,Update Scripts
updating_scripts_e17a5722,Updating scripts... 
url_22a5f3b8,URL
url_8c4ff7d2,Url
url_should_start_with_http_s_9ca55d94,Url should start with http[s]://
use_custom_runtime_d7d323fd,Use custom runtime
used_3d895705,Used
used_in_126529e5,Used In
user_input_673e4a89,User input
user_input_a6ff658d,User Input
user_is_typing_790cb502,User is typing
validating_35b79a96,Validating...
validation_rules_efd3144d,Validation Rules
value_d842f16d,Value
version_5599c321,Version
version_version_a051e218,Version { version }
video_tutorials_79eb26ca,Video tutorials:
view_ba339f93,View
vishwac_sena_45910bf0,Vishwac Sena
visual_editor_216472d,Visual editor
warning_53c98b03,Warning!
warning_the_action_you_are_about_to_take_cannot_be_1071a3c3,Warning: the action you are about to take cannot be undone. Going further will delete this bot and any related files in the bot project folder.
we_have_created_a_sample_bot_to_help_you_get_start_95a58922,We have created a sample bot to help you get started with Composer. Click here to open the bot.
we_need_to_define_the_endpoints_for_the_skill_to_a_5dc98d90,We need to define the endpoints for the skill to allow other bots to interact with it.
weather_bot_c38920cd,Weather Bot
welcome_73d18b4d,Welcome!
welcome_dd4e7151,Welcome
westeurope_cabf9688,westeurope
westus_dc50d800,westus
what_can_the_user_accomplish_through_this_conversa_7ddb03a1,"What can the user accomplish through this conversation? For example, BookATable, OrderACoffee etc."
what_is_the_name_of_the_custom_event_b28a7b3,What is the name of the custom event?
what_is_the_name_of_this_trigger_2642266e,What is the name of this trigger
what_is_the_name_of_this_trigger_luis_17b60a23,What is the name of this trigger (LUIS)
what_is_the_name_of_this_trigger_regex_f77376d7,What is the name of this trigger (RegEx)
what_is_the_name_of_your_bot_a571c565,What is the name of your bot?
what_is_the_type_of_this_trigger_d2701744,What is the type of this trigger?
what_your_bot_says_to_the_user_this_is_a_template__a8d2266d,"What your bot says to the user. This is a template used to create the outgoing message. It can include language generation rules, properties from memory, and other features.\n\nFor example, to define variations that will be chosen at random, write:\n- hello\n- hi"
what_your_bot_says_to_the_user_visit_a_target_blan_7735479,"What your Bot says to the user. Visit <a target=""_blank"" href=""https://aka.ms/bf-composer-docs-lg""> the documentation</a> a reference of capabilities."
when_deleting_a_language_only_the_content_will_be__8f7f8dee,"When deleting a language, only the content will be removed. The flow and logic of the conversation and dialog will remain functional."
when_done_switch_to_the_newly_created_language_and_862b7dd9,"When done, switch to the newly created language and start the (manual) translation process."
when_multiple_people_are_working_with_models_you_w_32b48099,When multiple people are working with models you want to be able to work with models independently from each other tied to the source control.
which_activity_type_18333457,Which activity type?
which_bot_do_you_want_to_open_974bb1e5,Which bot do you want to open?
which_event_6e655d2b,Which event?
yes_dde87d5,Yes
you_are_about_to_publish_your_bot_to_the_profile_b_79a6a226,You are about to publish your bot to the profile below. Do you want to proceed?
you_can_create_a_new_bot_from_scratch_with_compose_1486288c,"You can create a new bot from scratch with Composer, or start with a template."
you_can_define_and_manage_b_intents_b_here_each_in_721b8a0c,You can define and manage <b>intents</b> here. Each intent describes a particular user intention through utterances (i.e. user says). <b>Intents are often triggers of your bot.</b>
you_can_manage_all_bot_responses_here_make_good_us_5e6e1953,You can manage all bot responses here. Make good use of the templates to create sophisticated response logic based on your own needs.
you_do_not_have_permission_to_save_bots_here_56cc10c7,You do not have permission to save bots here
your_bot_creation_journey_on_composer_131c1a8b,Your bot creation journey on Composer
your_bot_is_using_luis_and_qna_for_natural_languag_53830684,Your bot is using LUIS and QNA for natural language understanding.
